City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bredasdorp,ZA,60.39,overcast clouds,-34.5322,20.0403,
6,Mapua,NZ,67.01,clear sky,-41.25,173.1,
9,Port Alfred,ZA,60.19,clear sky,-33.5906,26.891,
10,Bluff,NZ,61.81,broken clouds,-46.6,168.3333,
12,Mataura,NZ,61.48,few clouds,-46.1927,168.8643,
13,Payson,US,60.39,clear sky,40.0444,-111.7321,
15,Busselton,AU,61.97,overcast clouds,-33.65,115.3333,
18,Ponta Do Sol,PT,65.12,scattered clouds,32.6667,-17.1,
23,Cidreira,BR,67.77,broken clouds,-30.1811,-50.2056,
27,Dorchester,US,69.89,overcast clouds,33.1002,-80.3831,
28,Trinidad,BO,66.54,clear sky,-14.8333,-64.9,
37,Ahipara,NZ,69.96,overcast clouds,-35.1667,173.1667,
47,Hermanus,ZA,61.81,overcast clouds,-34.4187,19.2345,
48,Nouadhibou,MR,64.38,scattered clouds,20.931,-17.0347,
63,Victor Harbor,AU,64.0,overcast clouds,-35.5667,138.6167,
65,Doume,CM,69.53,overcast clouds,4.2333,13.45,
70,Waiuku,NZ,64.69,light rain,-37.25,174.75,
78,Esperance,AU,62.44,scattered clouds,-33.8667,121.9,
89,Namikupa,TZ,69.69,scattered clouds,-10.8333,39.6,
106,Salinas,US,65.97,clear sky,36.6777,-121.6555,
108,Jieshi,CN,69.94,overcast clouds,22.8134,115.8257,
113,Faya,SA,62.71,few clouds,18.3851,42.4509,
118,Cape Town,ZA,63.01,clear sky,-33.9258,18.4232,
120,East London,ZA,64.36,clear sky,-33.0153,27.9116,
123,Abha,SA,62.42,few clouds,18.2164,42.5053,
126,Tuatapere,NZ,61.48,broken clouds,-46.1333,167.6833,
127,Sechura,PE,69.33,scattered clouds,-5.5569,-80.8222,
132,Walvis Bay,,64.06,clear sky,-22.9575,14.5053,
134,Santiago Del Estero,AR,65.12,clear sky,-27.7951,-64.2615,
139,Burnie,AU,61.92,light rain,-41.0667,145.9167,
140,Komsomolskiy,UZ,61.52,scattered clouds,40.4272,71.7189,
162,Carnarvon,AU,69.87,overcast clouds,-24.8667,113.6333,
164,Hami,CN,61.18,clear sky,42.8,93.45,
165,Cordoba,AR,62.76,clear sky,-31.4135,-64.1811,
167,Wilmington,US,61.86,overcast clouds,34.2257,-77.9447,
171,Korla,CN,60.44,clear sky,41.7597,86.1469,
172,Avera,US,69.31,overcast clouds,33.194,-82.5271,
173,Port Lincoln,AU,61.95,overcast clouds,-34.7333,135.8667,
174,Alexandria,EG,65.97,overcast clouds,31.2156,29.9553,
180,Ukiah,US,66.09,clear sky,39.1502,-123.2078,
183,Chuy,UY,62.04,overcast clouds,-33.6971,-53.4616,
194,Huarmey,PE,67.26,clear sky,-10.0681,-78.1522,
201,Mabopane,ZA,60.66,light rain,-25.4977,28.1007,
209,Port Shepstone,ZA,65.41,light rain,-30.7414,30.455,
219,Florianopolis,BR,67.41,few clouds,-27.6146,-48.5012,
223,Rio Grande,BR,61.95,overcast clouds,-32.035,-52.0986,
225,Mar Del Plata,AR,63.09,clear sky,-38.0023,-57.5575,
231,Luderitz,,68.79,clear sky,-26.6481,15.1594,
232,Hualmay,PE,66.54,scattered clouds,-11.0964,-77.6139,
237,Wanaka,NZ,62.11,clear sky,-44.7,169.15,
245,Kaifeng,CN,68.7,broken clouds,34.7911,114.3483,
248,Parana,AR,64.56,clear sky,-31.732,-60.5238,
249,Katsuura,JP,62.83,overcast clouds,35.1333,140.3,
251,Devonport,AU,61.09,light rain,-41.1667,146.35,
257,Whitianga,NZ,63.12,overcast clouds,-36.8333,175.7,
274,Mollendo,PE,66.52,broken clouds,-17.0231,-72.0147,
282,Manono,CD,67.91,clear sky,-7.3,27.4167,
297,Port Augusta,AU,69.91,overcast clouds,-32.5,137.7667,
300,Sakakah,SA,65.77,clear sky,29.9697,40.2064,
309,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,
311,Shimoda,JP,62.96,overcast clouds,34.6667,138.95,
317,Oranjemund,,61.09,clear sky,-28.55,16.4333,
320,Yatou,CN,61.9,overcast clouds,37.15,122.3833,
