City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lebu,CL,-37.6167,-73.65,52.61,91,18,7.83,few clouds
1,Umm Kaddadah,SD,13.6017,26.6876,82.94,10,7,8.46,clear sky
2,Hilo,US,19.7297,-155.09,77.29,94,100,5.75,heavy intensity rain
3,Bredasdorp,ZA,-34.5322,20.0403,60.39,91,100,4.03,overcast clouds
4,Kitimat,CA,54.0524,-128.6534,53.98,49,14,1.77,few clouds
5,Barrow,US,71.2906,-156.7887,8.62,72,0,8.05,clear sky
6,Mapua,NZ,-41.25,173.1,67.01,52,0,5.06,clear sky
7,Coihueco,CL,-36.6167,-71.8333,50.74,87,98,6.91,overcast clouds
8,Albany,US,42.6001,-73.9662,40.64,63,7,7.16,clear sky
9,Port Alfred,ZA,-33.5906,26.891,60.19,93,6,1.99,clear sky
10,Bluff,NZ,-46.6,168.3333,61.81,62,68,2.71,broken clouds
11,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,73,88,12.3,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,61.48,48,12,2.86,few clouds
13,Payson,US,40.0444,-111.7321,60.39,39,0,4.61,clear sky
14,Abalak,RU,58.1286,68.5944,32.16,72,37,4.09,scattered clouds
15,Busselton,AU,-33.65,115.3333,61.97,61,91,3.78,overcast clouds
16,Salalah,OM,17.0151,54.0924,80.69,89,40,2.3,scattered clouds
17,Yumen,CN,40.2833,97.2,50.31,21,0,8.75,clear sky
18,Ponta Do Sol,PT,32.6667,-17.1,65.12,56,34,12.35,scattered clouds
19,Vaini,TO,-21.2,-175.2,86.16,79,75,6.91,broken clouds
20,Klaksvik,FO,62.2266,-6.589,50.92,95,100,19.89,overcast clouds
21,Calvia,ES,39.5657,2.5062,55.08,44,71,2.98,broken clouds
22,Jamestown,US,42.097,-79.2353,35.24,49,0,5.75,clear sky
23,Cidreira,BR,-30.1811,-50.2056,67.77,73,81,11.56,broken clouds
24,Maniitsoq,GL,65.4167,-52.9,22.77,84,100,1.79,overcast clouds
25,Mahebourg,MU,-20.4081,57.7,77.29,94,75,5.75,shower rain
26,Severo-Kurilsk,RU,50.6789,156.125,32.27,80,100,6.49,overcast clouds
27,Dorchester,US,33.1002,-80.3831,69.89,96,100,6.91,overcast clouds
28,Trinidad,BO,-14.8333,-64.9,66.54,75,0,5.84,clear sky
29,Tiksi,RU,71.6872,128.8694,5.5,96,95,4.68,overcast clouds
30,Tawau,MY,4.2498,117.8871,84.33,79,68,7.0,broken clouds
31,Solnechnyy,RU,50.7214,136.6319,33.12,84,100,3.94,overcast clouds
32,Kavieng,PG,-2.5744,150.7967,85.95,65,39,13.73,scattered clouds
33,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,5.75,shower rain
34,Ribeira Grande,PT,38.5167,-28.7,58.03,69,98,20.02,overcast clouds
35,Ulladulla,AU,-35.35,150.4667,77.77,47,100,1.3,overcast clouds
36,Bethel,US,41.3712,-73.414,43.11,53,0,4.0,clear sky
37,Ahipara,NZ,-35.1667,173.1667,69.96,89,100,12.68,overcast clouds
38,Longyearbyen,SJ,78.2186,15.6401,21.04,79,75,11.5,light snow
39,Thompson,CA,55.7435,-97.8558,32.16,32,75,2.3,broken clouds
40,Kaitangata,NZ,-46.2817,169.8464,59.22,56,11,3.85,few clouds
41,Ramon Castilla,PE,-4.2569,-69.9594,75.45,100,40,2.3,scattered clouds
42,Ambon,ID,-3.6954,128.1814,89.74,62,40,11.5,scattered clouds
43,Boyolangu,ID,-8.1181,111.8935,85.35,73,40,5.46,scattered clouds
44,Ushuaia,AR,-54.8,-68.3,46.06,93,100,10.36,light rain
45,Faanui,PF,-16.4833,-151.75,81.07,72,5,10.49,clear sky
46,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,12.66,broken clouds
47,Hermanus,ZA,-34.4187,19.2345,61.81,85,99,9.55,overcast clouds
48,Nouadhibou,MR,20.931,-17.0347,64.38,94,40,5.75,scattered clouds
49,Hirara,JP,24.8,125.2833,75.06,68,75,10.36,broken clouds
50,Iquitos,PE,-3.7481,-73.2472,75.24,100,75,3.44,broken clouds
51,Vila Velha,BR,-20.3297,-40.2925,75.15,81,40,11.5,scattered clouds
52,Upernavik,GL,72.7868,-56.1549,-3.05,89,100,13.13,overcast clouds
53,Tual,ID,-5.6667,132.75,83.7,74,100,7.38,overcast clouds
54,Tazovskiy,RU,67.4667,78.7,11.52,94,100,11.56,overcast clouds
55,Banjar,ID,-8.19,114.9675,85.78,72,100,3.13,overcast clouds
56,Lorengau,PG,-2.0226,147.2712,83.59,77,23,6.76,few clouds
57,Hobart,AU,-42.8794,147.3294,59.22,77,75,5.75,broken clouds
58,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,45,75,13.42,broken clouds
59,Georgetown,MY,5.4112,100.3354,84.13,92,20,4.61,thunderstorm
60,Deputatskiy,RU,69.3,139.9,9.59,91,97,4.21,overcast clouds
61,Terney,RU,45.0503,136.6092,47.97,40,65,4.09,broken clouds
62,Arraial Do Cabo,BR,-22.9661,-42.0278,72.88,69,0,8.81,clear sky
63,Victor Harbor,AU,-35.5667,138.6167,64.0,78,100,13.2,overcast clouds
64,Atuona,PF,-9.8,-139.0333,79.57,80,8,17.69,clear sky
65,Doume,CM,4.2333,13.45,69.53,98,100,2.19,overcast clouds
66,Saskylakh,RU,71.9167,114.0833,28.8,96,100,11.03,light snow
67,Puerto Ayora,EC,-0.7393,-90.3518,75.16,95,100,8.43,light rain
68,Kapaa,US,22.0752,-159.319,80.58,80,40,18.41,scattered clouds
69,Sept-Iles,CA,50.2001,-66.3821,41.52,60,75,16.11,broken clouds
70,Waiuku,NZ,-37.25,174.75,64.69,88,100,11.43,light rain
71,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,38,100,10.36,overcast clouds
72,Anshun,CN,26.25,105.9333,46.54,80,100,11.3,overcast clouds
73,Coari,BR,-4.085,-63.1414,73.33,96,89,2.3,overcast clouds
74,Airai,TL,-8.9266,125.4092,71.89,64,100,1.63,overcast clouds
75,Saint-Philippe,RE,-21.3585,55.7679,74.79,89,14,9.46,light rain
76,Kruisfontein,ZA,-34.0033,24.7314,59.88,87,100,4.85,light rain
77,Kavaratti,IN,10.5669,72.642,83.35,71,83,2.68,broken clouds
78,Esperance,AU,-33.8667,121.9,62.44,58,45,8.84,scattered clouds
79,Arvin,US,35.2091,-118.8284,77.13,60,24,4.18,few clouds
80,Ouesso,CG,1.6136,16.0517,70.84,98,100,1.1,light rain
81,Yulara,AU,-25.2406,130.9889,75.04,31,100,5.75,overcast clouds
82,Abomsa,ET,9.9833,39.9833,71.98,48,7,5.21,clear sky
83,Dudinka,RU,69.4058,86.1778,4.62,95,100,8.97,overcast clouds
84,Bristol,US,41.8334,-71.1662,43.63,65,0,3.44,clear sky
85,La Ronge,CA,55.1001,-105.2842,34.05,47,40,4.61,scattered clouds
86,Lazaro Cardenas,MX,17.9583,-102.2,76.39,66,100,3.76,overcast clouds
87,Maragogi,BR,-9.0122,-35.2225,78.64,82,100,7.7,overcast clouds
88,Lasem,ID,-6.6922,111.4527,85.12,73,40,4.27,scattered clouds
89,Namikupa,TZ,-10.8333,39.6,69.69,98,42,4.05,scattered clouds
90,Ilulissat,GL,69.2167,-51.1,15.82,73,75,4.61,light shower snow
91,Khatanga,RU,71.9667,102.5,7.09,95,93,13.2,overcast clouds
92,Rikitea,PF,-23.1203,-134.9692,78.48,63,2,10.67,clear sky
93,Peniche,PT,39.3558,-9.3811,59.29,89,52,22.48,broken clouds
94,Butaritari,KI,3.0707,172.7902,81.93,72,29,12.71,scattered clouds
95,Norman Wells,CA,65.282,-126.8329,24.84,30,20,6.91,few clouds
96,Shangrao,CN,28.4532,117.9686,54.93,93,100,6.64,overcast clouds
97,Saint-Pie,CA,45.5001,-72.8991,41.9,74,7,1.14,clear sky
98,Tasiilaq,GL,65.6145,-37.6368,32.13,95,100,8.55,overcast clouds
99,Lahij,YE,13.1667,44.5833,77.05,56,82,1.05,broken clouds
100,Zhigansk,RU,66.7697,123.3711,29.37,79,100,29.44,overcast clouds
101,Necochea,AR,-38.5473,-58.7368,57.76,87,93,9.13,overcast clouds
102,Nikolskoye,RU,59.7035,30.7861,39.7,75,100,2.98,overcast clouds
103,Alice Springs,AU,-23.7,133.8833,80.15,34,1,10.36,clear sky
104,Hithadhoo,MV,-0.6,73.0833,82.98,75,34,9.78,scattered clouds
105,Namibe,AO,-15.1961,12.1522,72.16,78,58,3.4,broken clouds
106,Salinas,US,36.6777,-121.6555,65.97,62,0,17.27,clear sky
107,Chulman,RU,56.8479,124.9104,24.57,94,100,10.71,snow
108,Jieshi,CN,22.8134,115.8257,69.94,79,100,10.33,overcast clouds
109,New Norfolk,AU,-42.7826,147.0587,57.92,51,100,3.0,overcast clouds
110,Manama,BH,26.2154,50.5832,76.98,35,0,8.05,clear sky
111,Cabo San Lucas,MX,22.8909,-109.9124,87.1,32,40,9.22,scattered clouds
112,Port Hedland,AU,-20.3167,118.5667,89.65,25,13,21.85,few clouds
113,Faya,SA,18.3851,42.4509,62.71,38,17,2.91,few clouds
114,Paamiut,GL,61.994,-49.6678,25.07,85,93,0.34,overcast clouds
115,Slave Lake,CA,55.2834,-114.769,35.58,51,0,3.44,clear sky
116,Pevek,RU,69.7008,170.3133,12.06,83,28,2.59,scattered clouds
117,Avarua,CK,-21.2078,-159.775,80.65,74,100,4.61,overcast clouds
118,Cape Town,ZA,-33.9258,18.4232,63.01,78,0,20.71,clear sky
119,Grindavik,IS,63.8424,-22.4338,39.67,70,75,6.91,broken clouds
120,East London,ZA,-33.0153,27.9116,64.36,84,0,11.39,clear sky
121,Gladstone,AU,-23.85,151.25,78.73,44,0,8.05,clear sky
122,Synya,RU,65.3718,58.0387,25.99,95,100,7.11,overcast clouds
123,Abha,SA,18.2164,42.5053,62.42,45,20,0.0,few clouds
124,Bandarbeyla,SO,9.4942,50.8122,80.15,82,15,7.4,few clouds
125,Progreso,MX,21.2833,-89.6667,82.51,80,0,15.12,clear sky
